response_time,recorded_at_time,line_ref,direction_ref,vehicle_ref,block_ref,longitude,latitude,passenger_count,passenger_capacity
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:21.000-04:00,,,MTA NYCT_7317,,-73.957049,40.608365,11,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:09.000-04:00,,,MTA NYCT_7315,,-73.949503,40.589245,16,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:20:54.000-04:00,,,MTA NYCT_354,,-73.960856,40.625241,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:05.000-04:00,,,MTA NYCT_355,,-73.995114,40.690435,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:04.000-04:00,,,MTA NYCT_352,,-73.986331,40.643682,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:06.000-04:00,,,MTA NYCT_351,,-73.963182,40.614265,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:10.000-04:00,,,MTA NYCT_8651,,-73.779766,40.753458,7,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:07.000-04:00,,,MTA NYCT_8652,,-73.869558,40.735078,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:06.000-04:00,,,MTA NYCT_8655,,-73.744601,40.692844,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:04.000-04:00,,,MTA NYCT_7323,,-73.988978,40.690883,1,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:08.000-04:00,,,MTA NYCT_8656,,-73.760844,40.720439,12,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:03.000-04:00,,,MTA NYCT_7390,,-73.808067,40.702186,5,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:20:52.000-04:00,,,MTA NYCT_7393,,-73.858799,40.750794,11,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:11.000-04:00,,,MTA NYCT_6061,,-73.942964,40.785645,1,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:15.000-04:00,,,MTA NYCT_7392,,-73.963955,40.76125,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:20:58.000-04:00,,,MTA NYCT_7391,,-73.970675,40.763269,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:20:56.000-04:00,,,MTA NYCT_6066,,-73.930629,40.673954,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:15.000-04:00,,,MTA NYCT_6065,,-73.937821,40.80381,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:19.000-04:00,,,MTA NYCT_7396,,-73.828398,40.760703,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:10.000-04:00,,,MTA NYCT_6064,,-73.930187,40.649889,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:20:55.000-04:00,,,MTA NYCT_6069,,-73.989816,40.729684,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:19.000-04:00,,,MTA NYCT_6052,,-73.92137,40.608945,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:14.000-04:00,,,MTA NYCT_6051,,-73.930772,40.848257,6,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:20:58.000-04:00,,,MTA NYCT_6050,,-73.955087,40.689266,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:20.000-04:00,,,MTA NYCT_7387,,-73.779828,40.780112,3,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:19.000-04:00,,,MTA NYCT_6055,,-73.934594,40.804053,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:14.000-04:00,,,MTA NYCT_6054,,-73.930051,40.648639,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:20:52.000-04:00,,,MTA NYCT_7385,,-73.977921,40.754651,1,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:03.000-04:00,,,MTA NYCT_7384,,-73.790908,40.707119,4,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:13.000-04:00,,,MTA NYCT_6059,,-73.954605,40.815652,3,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:02.000-04:00,,,MTA NYCT_6057,,-73.969603,40.757415,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:20:52.000-04:00,,,MTA NYCT_7388,,-73.955759,40.757381,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:03.000-04:00,,,MTA NYCT_6039,,-73.935339,40.800319,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:15.000-04:00,,,MTA NYCT_6041,,-73.99741,40.714184,,
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:09.000-04:00,,,MTA NYCT_7371,,-73.782901,40.776886,3,0
2020-09-23T09:21:21.428-04:00,2020-09-23T09:21:04.000-04:00,,,MTA NYCT_7375,,-73.93649,40.748056,12,0
